,,,,,,,,,,,,,,,,,screen1,screen2,age,sex,education,race,income,health,example_arousal_scale,example_valence_scale,04_a_low_arsl,04_a_low_vln,04_a_full_arsl,04_a_full_vln,04_a_med_arsl,04_a_med_vln,04_h_full_arsl,04_h_full_vln,04_h_low_arsl,04_h_low_vln,04_h_med_arsl,04_h_med_vln,04_s_full_arsl,04_s_full_vln,04_s_low_arsl,04_s_low_vln,04_s_med_arsl,04_s_med_vln,116_a_full_arsl,116_a_full_vln,116_a_low_arsl,116_a_low_vln,116_a_med_arsl,116_a_med_vln,116_h_full_arsl,116_h_full_vln,116_h_low_arsl,116_h_low_vln,116_h_med_arsl,116_h_med_vln,116_s_full_arsl,116_s_full_vln,116_s_low_arsl,116_s_low_vln,116_s_med_arsl,116_s_med_vln,133_a_full_arsl,133_a_full_vln,133_a_low_arsl,133_a_low_vln,133_a_med_arsl,133_a_med_vln,133_h_full_arsl,133_h_full_vln,133_h_low_arsl,133_h_low_vln,133_h_med_arsl,133_h_med_vln,133_s_full_arsl,133_s_full_vln,133_s_low_arsl,133_s_low_vln,133_s_med_arsl,133_s_med_vln,49_a_full_arsl,49_a_full_vln,49_a_low_arsl,49_a_low_vln,49_a_med_arsl,49_a_med_vln,49_h_full_arsl,49_h_full_vln,49_h_low_arsl,49_h_low_vln,49_h_med_arsl,49_h_med_vln,49_s_full_arsl,49_s_full_vln,49_s_low_arsl,49_s_low_vln,49_s_med_arsl,49_s_med_vln,69_a_full_arsl,69_a_full_vln,69_a_low_arsl,69_a_low_vln,69_a_med_arsl,69_a_med_vln,69_h_full_arsl,69_h_full_vln,69_h_low_arsl,69_h_low_vln,69_h_med_arsl,69_h_med_vln,69_s_full_arsl,69_s_full_vln,69_s_low_arsl,69_s_low_vln,69_s_med_arsl,69_s_med_vln,113_a_full_arsl,113_a_full_vln,113_a_low_arsl,113_a_low_vln,113_a_med_arsl,113_a_med_vln,113_h_full_arsl,113_h_full_vln,113_h_low_arsl,113_h_low_vln,113_h_med_arsl,113_h_med_vln,113_s_full_arsl,113_s_full_vln,113_s_low_arsl,113_s_low_vln,113_s_med_arsl,113_s_med_vln,,,,,,
8/31/18 13:37,8/31/18 13:53,IP Address,74.73.168.130,100,962,TRUE,8/31/18 13:53,R_324T7wfXYpoasb9,,,,,40.59500122,-73.78759766,anonymous,EN,No,No,35,Female,Bachelor's Degree,White/Caucasian,"$20,000-$29,999",4,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,6,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,3,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,3,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,,,,,7 - Not At All Aroused,7 - Very Negative,,,,,6,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,,,,,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,Qual1827-0726Age,5b8998f1-539c-4b36-a326-266828eb40f1,2904619,,1,
8/31/18 13:40,8/31/18 13:58,IP Address,104.180.161.166,100,1032,TRUE,8/31/18 13:58,R_2sTEKZI13ktnkFx,,,,,32.73710632,-96.90550232,anonymous,EN,No,No,73,Female,Some College,White/Caucasian,"$10,000-$19,999",4,4,1 - Very Positive,4,4 - Neutral,,,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,4,4 - Neutral,,,4,4 - Neutral,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,,,,,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,5 - Slightly Negative,4,4 - Neutral,4,5 - Slightly Negative,,,4,4 - Neutral,4,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,4,3 - Slightly Positive,4,3 - Slightly Positive,4,3 - Slightly Positive,4,4 - Neutral,4,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,4,4 - Neutral,4,4 - Neutral,,,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,Qual1827-0726Age,5b8999ba-158a-4b48-bd4d-a64951f09074,2904619,,1,
8/31/18 13:55,8/31/18 14:01,IP Address,24.185.3.148,100,375,TRUE,8/31/18 14:01,R_2bHPbeD7kr2K04A,,,,,40.85969543,-74.40260315,anonymous,EN,No,No,26,Female,Bachelor's Degree,Asian,"$20,000-$29,999",4,4,3 - Slightly Positive,5,4 - Neutral,3,5 - Slightly Negative,4,5 - Slightly Negative,5,3 - Slightly Positive,6,6 - Moderately Negative,,,5,5 - Slightly Negative,5,3 - Slightly Positive,4,4 - Neutral,5,4 - Neutral,6,3 - Slightly Positive,1 - Very Aroused,7 - Very Negative,3,4 - Neutral,4,3 - Slightly Positive,5,4 - Neutral,3,7 - Very Negative,4,4 - Neutral,3,6 - Moderately Negative,5,4 - Neutral,5,4 - Neutral,5,4 - Neutral,3,7 - Very Negative,,,5,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,4,5 - Slightly Negative,,,3,4 - Neutral,4,3 - Slightly Positive,4,2 - Moderately Positive,,,5,4 - Neutral,4,4 - Neutral,5,5 - Slightly Negative,4,4 - Neutral,3,4 - Neutral,,,5,4 - Neutral,,,3,5 - Slightly Negative,4,3 - Slightly Positive,5,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,6,4 - Neutral,4,4 - Neutral,,,,,,,4,5 - Slightly Negative,4,4 - Neutral,3,5 - Slightly Negative,,,3,5 - Slightly Negative,Qual1827-0726Age,5b899d1c-70b6-4fb2-b608-af49ff99c911,2904619,,1,
8/31/18 13:53,8/31/18 14:02,IP Address,184.182.12.84,100,493,TRUE,8/31/18 14:02,R_3R3XzzsDbIsNWp7,,,,,33.61309814,-112.3246002,anonymous,EN,No,No,64,Female,Some College,White/Caucasian,"$30,000-$39,000",3,4,4 - Neutral,5,6 - Moderately Negative,,,6,6 - Moderately Negative,,,,,,,,,6,6 - Moderately Negative,,,6,7 - Very Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,3,2 - Moderately Positive,2,2 - Moderately Positive,2,2 - Moderately Positive,5,5 - Slightly Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,5,6 - Moderately Negative,5,5 - Slightly Negative,3,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,6,6 - Moderately Negative,4,4 - Neutral,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,,,2,2 - Moderately Positive,3,2 - Moderately Positive,,,6,6 - Moderately Negative,6,6 - Moderately Negative,,,6,6 - Moderately Negative,5,6 - Moderately Negative,6,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,,,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,6,6 - Moderately Negative,2,1 - Very Positive,2,2 - Moderately Positive,2,2 - Moderately Positive,6,6 - Moderately Negative,6,6 - Moderately Negative,5,5 - Slightly Negative,Qual1827-0726Age,5b899ccd-687d-4c10-9078-0719e985ee62,2904619,,1,
8/31/18 13:51,8/31/18 14:03,IP Address,65.35.68.116,100,724,TRUE,8/31/18 14:03,R_3IQq9KCN91RKAdq,,,,,28.48379517,-82.51300049,anonymous,EN,No,No,74,Female,Master's Degree,White/Caucasian,"$50,000-$59,000",2,5,2 - Moderately Positive,,,4,7 - Very Negative,4,5 - Slightly Negative,2,2 - Moderately Positive,4,3 - Slightly Positive,3,2 - Moderately Positive,4,6 - Moderately Negative,4,6 - Moderately Negative,4,5 - Slightly Negative,4,6 - Moderately Negative,,,4,4 - Neutral,3,3 - Slightly Positive,4,3 - Slightly Positive,3,2 - Moderately Positive,4,6 - Moderately Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,,,4,5 - Slightly Negative,4,6 - Moderately Negative,3,2 - Moderately Positive,4,3 - Slightly Positive,3,3 - Slightly Positive,4,5 - Slightly Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,,,4,5 - Slightly Negative,5,6 - Moderately Negative,4,2 - Moderately Positive,3,2 - Moderately Positive,,,4,5 - Slightly Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,,,4,5 - Slightly Negative,2,2 - Moderately Positive,3,2 - Moderately Positive,3,2 - Moderately Positive,4,6 - Moderately Negative,,,4,6 - Moderately Negative,,,,,4,5 - Slightly Negative,2,2 - Moderately Positive,4,5 - Slightly Negative,4,2 - Moderately Positive,2,6 - Moderately Negative,,,4,5 - Slightly Negative,Qual1827-0726Age,5b899c37-b614-4d90-bb81-86b243856c6f,2904619,,1,
8/31/18 13:53,8/31/18 14:03,IP Address,74.90.159.6,100,592,TRUE,8/31/18 14:03,R_1HplBw0l8D0jY6S,,,,,40.68260193,-73.46700287,anonymous,EN,No,No,43,Female,Bachelor's Degree,White/Caucasian,"$150,000 or more",Very healthy,5,4 - Neutral,6,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,5,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,2,2 - Moderately Positive,2,6 - Moderately Negative,2,3 - Slightly Positive,4,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,4,5 - Slightly Negative,,,3,2 - Moderately Positive,,,,,2,5 - Slightly Negative,6,5 - Slightly Negative,,,,,6,5 - Slightly Negative,3,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,5,3 - Slightly Positive,2,2 - Moderately Positive,6,4 - Neutral,7 - Not At All Aroused,4 - Neutral,,,6,4 - Neutral,,,5,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,,,2,2 - Moderately Positive,3,4 - Neutral,6,4 - Neutral,5,5 - Slightly Negative,2,7 - Very Negative,2,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,6,4 - Neutral,1 - Very Aroused,2 - Moderately Positive,4,3 - Slightly Positive,5,4 - Neutral,4,4 - Neutral,,,6,4 - Neutral,,,1 - Very Aroused,1 - Very Positive,3,3 - Slightly Positive,1 - Very Aroused,1 - Very Positive,2,5 - Slightly Negative,5,5 - Slightly Negative,4,4 - Neutral,Qual1827-0726Age,5b899cc2-c825-4cf4-9e65-3a258f8ddd07,2904619,,1,
8/31/18 13:55,8/31/18 14:04,IP Address,172.58.201.69,100,583,TRUE,8/31/18 14:04,R_2QzelxYIJtUioTC,,,,,40.05659485,-75.13600159,anonymous,EN,No,No,47,Female,Bachelor's Degree,White/Caucasian,"$10,000-$19,999",3,3,4 - Neutral,2,4 - Neutral,3,4 - Neutral,7 - Not At All Aroused,4 - Neutral,1 - Very Aroused,1 - Very Positive,3,4 - Neutral,3,4 - Neutral,1 - Very Aroused,4 - Neutral,3,4 - Neutral,,,1 - Very Aroused,5 - Slightly Negative,3,4 - Neutral,4,4 - Neutral,1 - Very Aroused,4 - Neutral,3,4 - Neutral,3,4 - Neutral,7 - Not At All Aroused,4 - Neutral,3,4 - Neutral,,,,,3,4 - Neutral,3,4 - Neutral,,,3,4 - Neutral,1 - Very Aroused,1 - Very Positive,3,4 - Neutral,4,4 - Neutral,,,3,4 - Neutral,3,4 - Neutral,3,4 - Neutral,1 - Very Aroused,4 - Neutral,2,4 - Neutral,2,4 - Neutral,1 - Very Aroused,7 - Very Negative,,,,,,,,,3,4 - Neutral,3,4 - Neutral,3,4 - Neutral,1 - Very Aroused,1 - Very Positive,3,4 - Neutral,4,4 - Neutral,3,4 - Neutral,3,4 - Neutral,4,4 - Neutral,3,4 - Neutral,3,4 - Neutral,1 - Very Aroused,4 - Neutral,3,4 - Neutral,2,4 - Neutral,2,4 - Neutral,,,Qual1827-0726Age,5b899d14-f27b-425e-9841-b59b59cfc141,2904619,,1,
8/31/18 13:53,8/31/18 14:05,IP Address,172.251.145.107,100,710,TRUE,8/31/18 14:05,R_C8mX2ww6SzBvmaB,,,,,33.9868927,-117.6555023,anonymous,EN,No,No,35,Male,High School Diploma,White/Caucasian,"$20,000-$29,999",4,2,2 - Moderately Positive,,,,,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,3 - Slightly Positive,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,3 - Slightly Positive,,,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,3 - Slightly Positive,7 - Not At All Aroused,6 - Moderately Negative,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,6 - Moderately Negative,6,6 - Moderately Negative,7 - Not At All Aroused,4 - Neutral,6,2 - Moderately Positive,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,,,,,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,3 - Slightly Positive,7 - Not At All Aroused,3 - Slightly Positive,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,5 - Slightly Negative,Qual1827-0726Age,5b899cbc-ad80-4615-80de-455fa31ec0c2,2904619,,1,
8/31/18 13:58,8/31/18 14:07,IP Address,47.20.208.8,100,517,TRUE,8/31/18 14:07,R_2lb6kkWoBkilNCN,,,,,40.51829529,-74.39689636,anonymous,EN,No,No,68,Male,Bachelor's Degree,White/Caucasian,"$140,000-$149,999",Very healthy,6,1 - Very Positive,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,,,7 - Not At All Aroused,1 - Very Positive,7 - Not At All Aroused,2 - Moderately Positive,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,5 - Slightly Negative,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,1 - Very Positive,7 - Not At All Aroused,5 - Slightly Negative,,,6,5 - Slightly Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,3 - Slightly Positive,7 - Not At All Aroused,2 - Moderately Positive,6,6 - Moderately Negative,7 - Not At All Aroused,4 - Neutral,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,6 - Moderately Negative,6,1 - Very Positive,7 - Not At All Aroused,2 - Moderately Positive,7 - Not At All Aroused,1 - Very Positive,,,,,7 - Not At All Aroused,6 - Moderately Negative,,,7 - Not At All Aroused,6 - Moderately Negative,7 - Not At All Aroused,6 - Moderately Negative,6,2 - Moderately Positive,,,,,7 - Not At All Aroused,4 - Neutral,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,5 - Slightly Negative,Qual1827-0726Age,5b899de9-8157-495e-b293-74c863318344,2904619,,1,
8/31/18 13:55,8/31/18 14:08,IP Address,98.198.202.89,100,792,TRUE,8/31/18 14:08,R_3KOzoD3Wva5vBKi,,,,,29.87240601,-95.56999969,anonymous,EN,No,No,38,Female,Bachelor's Degree,Asian,"$40,000-$49,999",4,4,4 - Neutral,6,6 - Moderately Negative,,,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,,,,,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,2 - Moderately Positive,2,2 - Moderately Positive,1 - Very Aroused,1 - Very Positive,7 - Not At All Aroused,7 - Very Negative,6,5 - Slightly Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,,,,,4,4 - Neutral,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,,,,,2,2 - Moderately Positive,,,5,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,2,6 - Moderately Negative,3,5 - Slightly Negative,6,6 - Moderately Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,2,2 - Moderately Positive,6,6 - Moderately Negative,6,6 - Moderately Negative,,,7 - Not At All Aroused,7 - Very Negative,6,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,,,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,6,6 - Moderately Negative,Qual1827-0726Age,5b899d34-54aa-4db4-9c73-d93183200b73,2904619,,1,
8/31/18 13:56,8/31/18 14:10,IP Address,35.133.12.220,100,874,TRUE,8/31/18 14:10,R_SIfYoBtBT0BLx7j,,,,,47.72090149,-114.219101,anonymous,EN,No,No,70,Male,High School Diploma,White/Caucasian,"$10,000-$19,999",Very healthy,5,4 - Neutral,4,4 - Neutral,,,4,5 - Slightly Negative,3,2 - Moderately Positive,4,3 - Slightly Positive,4,3 - Slightly Positive,,,4,5 - Slightly Negative,5,5 - Slightly Negative,3,7 - Very Negative,4,5 - Slightly Negative,5,6 - Moderately Negative,4,2 - Moderately Positive,4,3 - Slightly Positive,4,3 - Slightly Positive,4,6 - Moderately Negative,5,4 - Neutral,6,5 - Slightly Negative,,,,,4,5 - Slightly Negative,3,1 - Very Positive,4,3 - Slightly Positive,4,3 - Slightly Positive,4,4 - Neutral,4,4 - Neutral,4,4 - Neutral,,,4,4 - Neutral,4,5 - Slightly Negative,3,2 - Moderately Positive,,,,,,,4,4 - Neutral,4,5 - Slightly Negative,5,6 - Moderately Negative,5,5 - Slightly Negative,4,6 - Moderately Negative,3,1 - Very Positive,,,,,4,5 - Slightly Negative,5,6 - Moderately Negative,4,5 - Slightly Negative,3,6 - Moderately Negative,4,5 - Slightly Negative,3,5 - Slightly Negative,3,1 - Very Positive,4,2 - Moderately Positive,3,2 - Moderately Positive,3,6 - Moderately Negative,4,5 - Slightly Negative,4,5 - Slightly Negative,Qual1827-0726Age,5b899d60-e837-4c57-bb1b-981025749a49,2904619,,1,
8/31/18 13:55,8/31/18 14:12,IP Address,72.218.202.39,100,1035,TRUE,8/31/18 14:12,R_1M5GqkKsLI31D9d,,,,,36.82330322,-76.31800079,anonymous,EN,No,No,66,Male,Some College,White/Caucasian,"$10,000-$19,999",2,4,1 - Very Positive,2,7 - Very Negative,1 - Very Aroused,7 - Very Negative,2,5 - Slightly Negative,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,,,,,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,,,1 - Very Aroused,1 - Very Positive,2,2 - Moderately Positive,,,1 - Very Aroused,7 - Very Negative,3,5 - Slightly Negative,1 - Very Aroused,6 - Moderately Negative,2,7 - Very Negative,3,5 - Slightly Negative,,,,,3,2 - Moderately Positive,1 - Very Aroused,2 - Moderately Positive,2,6 - Moderately Negative,5,5 - Slightly Negative,2,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,2 - Moderately Positive,,,1 - Very Aroused,6 - Moderately Negative,,,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,2 - Moderately Positive,1 - Very Aroused,2 - Moderately Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,5 - Slightly Negative,1 - Very Aroused,7 - Very Negative,2,7 - Very Negative,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,,,2,2 - Moderately Positive,1 - Very Aroused,7 - Very Negative,1 - Very Aroused,6 - Moderately Negative,1 - Very Aroused,7 - Very Negative,Qual1827-0726Age,5b899d1d-4e25-47eb-9cfb-49984fa02d18,2904619,,1,
8/31/18 13:54,8/31/18 14:13,IP Address,47.13.97.105,100,1164,TRUE,8/31/18 14:13,R_qRgSAsnfhrdcu8F,,,,,36.30810547,-88.38249969,anonymous,EN,No,No,54,Female,High School Diploma,White/Caucasian,"$40,000-$49,999",4,4,4 - Neutral,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,,,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,2,1 - Very Positive,,,7 - Not At All Aroused,6 - Moderately Negative,,,6,5 - Slightly Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,1 - Very Aroused,1 - Very Positive,,,7 - Not At All Aroused,7 - Very Negative,5,5 - Slightly Negative,,,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,,,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,4,6 - Moderately Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,7 - Not At All Aroused,7 - Very Negative,1 - Very Aroused,1 - Very Positive,,,1 - Very Aroused,1 - Very Positive,7 - Not At All Aroused,7 - Very Negative,,,7 - Not At All Aroused,6 - Moderately Negative,Qual1827-0726Age,5b899cdd-58ef-451e-bcc4-ee886ca98969,2904619,,1,
8/31/18 14:04,8/31/18 14:14,IP Address,142.197.69.121,100,585,TRUE,8/31/18 14:14,R_3JC3XfNJBQlZLnE,,,,,29.1098938,-80.97299957,anonymous,EN,No,No,38,Male,Bachelor's Degree,White/Caucasian,"$40,000-$49,999",3,2,3 - Slightly Positive,3,5 - Slightly Negative,2,6 - Moderately Negative,3,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,1 - Very Aroused,6 - Moderately Negative,2,6 - Moderately Negative,2,7 - Very Negative,2,7 - Very Negative,,,2,6 - Moderately Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,1 - Very Aroused,7 - Very Negative,,,2,6 - Moderately Negative,,,6,4 - Neutral,3,5 - Slightly Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,2,6 - Moderately Negative,3,5 - Slightly Negative,3,6 - Moderately Negative,,,3,6 - Moderately Negative,2,7 - Very Negative,2,2 - Moderately Positive,,,2,2 - Moderately Positive,2,6 - Moderately Negative,2,6 - Moderately Negative,,,2,6 - Moderately Negative,,,2,6 - Moderately Negative,,,3,2 - Moderately Positive,,,2,6 - Moderately Negative,2,6 - Moderately Negative,2,6 - Moderately Negative,2,6 - Moderately Negative,3,5 - Slightly Negative,3,5 - Slightly Negative,2,2 - Moderately Positive,3,3 - Slightly Positive,2,2 - Moderately Positive,1 - Very Aroused,7 - Very Negative,3,6 - Moderately Negative,2,6 - Moderately Negative,Qual1827-0726Age,5b899f62-58fd-400b-b172-784b6567f153,2904619,,1,
