,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,egb,115_a_full_arsl,115_a_full_vln,115_a_full_nat,115_a_low_arsl,115_a_low_vln,115_a_low_nat,115_a_med_arsl,115_a_med_vln,115_a_med_nat,115_h_full_arsl,115_h_full_vln,115_h_full_nat,115_h_low_arsl,115_h_low_vln,115_h_low_nat,115_h_med_arsl,115_h_med_vln,115_h_med_nat,115_s_full_arsl,115_s_full_vln,115_s_full_nat,115_s_low_arsl,115_s_low_vln,115_s_low_nat,115_s_med_arsl,115_s_med_vln,115_s_med_nat,118_a_full_arsl,118_a_full_vln,118_a_full_nat,118_a_low_arsl,118_a_low_vln,118_a_low_nat,118_a_med_arsl,118_a_med_vln,118_a_med_nat,118_h_full_arsl,118_h_full_vln,118_h_full_nat,118_h_low_arsl,118_h_low_vln,118_h_low_nat,118_h_med_arsl,118_h_med_vln,118_h_med_nat,118_s_full_arsl,118_s_full_vln,118_s_full_nat,118_s_low_arsl,118_s_low_vln,118_s_low_nat,118_s_med_arsl,118_s_med_vln,118_s_med_nat,43_a_full_arsl,43_a_full_vln,43_a_full_nat,43_a_low_arsl,43_a_low_vln,43_a_low_nat,43_a_med_arsl,43_a_med_vln,43_a_med_nat,43_h_full_arsl,43_h_full_vln,43_h_full_nat,43_h_low_arsl,43_h_low_vln,43_h_low_nat,43_h_med_arsl,43_h_med_vln,43_h_med_nat,43_s_full_arsl,43_s_full_vln,43_s_full_nat,43_s_low_arsl,43_s_low_vln,43_s_low_nat,43_s_med_arsl,43_s_med_vln,43_s_med_nat,86_a_full_arsl,86_a_full_vln,86_a_full_nat,86_a_low_arsl,86_a_low_vln,86_a_low_nat,86_a_med_arsl,86_a_med_vln,86_a_med_nat,86_h_full_arsl,86_h_full_vln,86_h_full_nat,86_h_low_arsl,86_h_low_vln,86_h_low_nat,86_h_med_arsl,86_h_med_vln,86_h_med_nat,86_s_full_arsl,86_s_full_vln,86_s_full_nat,86_s_low_arsl,86_s_low_vln,86_s_low_nat,86_s_med_arsl,86_s_med_vln,86_s_med_nat,87_a_full_arsl,87_a_full_vln,87_a_full_nat,87_a_low_arsl,87_a_low_vln,87_a_low_nat,87_a_med_arsl,87_a_med_vln,87_a_med_nat,87_h_full_arsl,87_h_full_vln,87_h_full_nat,87_h_low_arsl,87_h_low_vln,87_h_low_nat,87_h_med_arsl,87_h_med_vln,87_h_med_nat,87_s_full_arsl,87_s_full_vln,87_s_full_nat,87_s_low_arsl,87_s_low_vln,87_s_low_nat,87_s_med_arsl,87_s_med_vln,87_s_med_nat,89_a_full_arsl,89_a_full_vln,89_a_full_nat,89_a_low_arsl,89_a_low_vln,89_a_low_nat,89_a_med_arsl,89_a_med_vln,89_a_med_nat,89_h_full_arsl,89_h_full_vln,89_h_full_nat,89_h_low_arsl,89_h_low_vln,89_h_low_nat,89_h_med_arsl,89_h_med_vln,89_h_med_nat,89_s_full_arsl,89_s_full_vln,89_s_full_nat,89_s_low_arsl,89_s_low_vln,89_s_low_nat,89_s_med_arsl,89_s_med_vln,89_s_med_nat,,,,,
11/7/18 22:14,11/7/18 22:37,0,73.83.1.48,100,1350,1,11/7/18 22:37,R_3iyBVUFm5DjWSMj,,,,,47.14239502,-122.2651978,anonymous,EN,2,2,53,2,3,5,3,4,7,4,3,5,4,3,5,4,4,5,4,3,2,3,4,3,4,3,7,3,4,5,4,3,5,4,3,5,4,3,6,4,3,5,4,4,6,4,3,2,4,3,2,4,4,2,4,3,6,3,4,5,4,4,5,4,6,6,4,3,5,4,3,6,4,3,2,4,4,2,4,3,2,4,4,6,4,4,5,4,4,5,4,4,5,4,4,2,4,3,5,4,3,3,4,3,2,4,4,2,4,3,6,4,4,5,4,4,5,4,3,6,4,3,5,4,3,5,4,3,3,3,4,2,4,4,2,4,4,5,4,3,4,4,4,4,4,3,6,4,4,5,4,3,6,4,3,2,4,4,2,4,4,3,4,3,5,4,4,4,4,4,5,4,Qual1827-1101Morphs,5be3c637-016f-4019-8124-879ddb058425,3296180,1,
11/7/18 22:46,11/7/18 23:01,0,208.84.221.250,100,911,1,11/7/18 23:01,R_1QJWW9APSdHuIt2,,,,,48.16949463,-117.1508026,anonymous,EN,2,2,22,2,2,1,3,4,7,4,4,4,3,5,4,5,4,4,4,1,4,5,1,4,3,1,4,5,4,5,3,5,5,4,7,6,3,3,5,3,5,4,5,4,4,4,1,4,6,4,4,4,4,4,4,5,4,4,1,4,3,6,6,4,6,5,3,5,4,4,5,4,5,1,4,4,1,3,4,4,4,5,3,5,4,4,4,5,7,4,5,6,4,4,1,3,3,5,4,4,1,4,4,4,4,4,1,4,5,6,6,5,7,5,5,7,6,4,5,4,4,5,4,4,4,4,4,1,4,3,2,4,4,3,4,4,6,5,4,5,4,4,3,5,3,7,4,3,4,4,4,6,5,5,1,1,5,2,4,5,1,1,5,7,4,3,4,5,4,5,4,5,Qual1827-1101Morphs,5be3cd97-4c3a-4540-b48e-97651833c48d,3296180,1,
11/7/18 22:44,11/7/18 23:05,0,162.200.12.229,100,1235,1,11/7/18 23:05,R_1r0x3VpmTBxmFsC,,,,,35.90449524,-100.3841019,anonymous,EN,2,2,33,2,3,1,11,2,3,4,3,2,6,1,2,5,1,1,1,2,3,2,3,6,6,5,1,6,6,7,5,4,5,4,5,4,3,3,2,3,3,6,3,3,3,1,4,3,1,2,5,6,1,5,3,6,6,3,3,3,1,5,3,4,3,5,2,2,3,5,2,2,1,2,2,3,2,3,6,2,6,2,4,2,2,2,3,5,5,3,6,3,2,2,3,3,1,3,3,6,1,1,5,5,7,4,2,4,5,2,1,1,6,6,2,5,4,5,5,1,2,3,2,2,6,5,4,1,3,4,4,5,2,6,3,3,3,6,3,6,3,3,5,6,6,5,5,4,5,1,2,3,2,3,6,5,6,7,2,3,5,6,5,4,4,6,2,2,2,5,5,5,Qual1827-1101Morphs,5be3cd44-d1ea-42ec-be89-2fb66185b730,3296180,1,
11/7/18 22:42,11/7/18 23:09,0,99.7.4.81,100,1648,1,11/7/18 23:09,R_12mCyPNuIkK0zUO,,,,,42.13400269,-87.93409729,anonymous,EN,2,2,34,2,4,3,5,4,4,4,4,6,4,4,5,4,4,6,5,4,2,4,4,3,4,4,1,5,4,5,4,3,5,5,4,5,4,4,5,4,4,5,3,4,5,5,4,2,4,4,4,5,4,3,4,3,6,4,4,5,4,4,5,5,4,5,4,4,5,4,4,6,4,4,1,4,4,3,3,4,1,4,4,7,5,3,5,3,4,5,3,4,6,3,4,2,5,4,6,4,3,1,4,4,3,3,4,2,4,4,7,4,4,6,4,4,6,3,3,6,4,4,5,4,4,6,5,4,1,5,3,3,5,4,1,4,4,7,4,4,5,4,4,5,3,4,6,4,4,5,4,4,5,4,4,1,5,4,2,4,4,1,5,4,5,4,4,5,3,4,6,4,Qual1827-1101Morphs,5be3ccaa-0a04-4636-afbd-80b16b9281b0,3296180,1,
11/7/18 23:08,11/7/18 23:20,0,76.20.156.51,100,702,1,11/7/18 23:20,R_VJR6Mdh3S7JsHjb,,,,,42.22900391,-84.41320038,anonymous,EN,2,2,14,2,1,1,1,2,4,4,7,7,3,7,4,5,7,4,4,7,4,1,7,4,4,7,4,5,7,7,3,7,4,6,7,5,6,7,4,1,7,3,6,7,4,3,1,1,6,7,4,5,7,4,6,7,7,2,7,4,3,7,7,3,7,4,5,7,5,5,7,7,1,7,4,2,7,6,5,7,4,4,7,4,5,7,4,5,5,5,3,5,5,2,7,7,6,7,4,3,7,5,5,7,4,6,7,4,1,7,4,4,7,7,5,7,4,4,7,5,5,7,7,2,7,5,3,7,4,3,7,6,3,2,3,5,7,5,2,7,4,2,7,4,3,7,3,5,7,4,4,7,4,3,7,4,3,7,4,1,7,7,1,7,4,3,7,6,5,7,4,4,Qual1827-1101Morphs,5be3d2cd-b814-4afe-840b-8fc445c62010,3296180,1,
11/7/18 23:33,11/7/18 23:55,0,148.74.195.187,100,1305,1,11/7/18 23:55,R_3ijMJg4LBxY2k0U,,,,,40.94610596,-73.86689758,anonymous,EN,2,2,9,2,4,2,6,3,4,2,7,6,4,5,5,4,7,6,2,1,1,5,2,2,5,2,2,5,6,5,2,5,5,2,7,5,2,7,6,2,7,5,2,6,5,2,1,1,6,3,2,5,2,2,5,5,5,3,5,5,1,6,6,2,6,5,2,5,5,3,6,6,3,1,1,5,1,1,5,2,2,4,7,5,2,5,5,2,7,5,1,6,6,2,3,2,2,7,5,1,1,1,6,2,2,5,2,2,5,5,5,4,7,5,2,5,5,2,7,7,2,6,6,2,7,6,2,1,1,4,1,1,5,2,2,6,5,5,4,7,5,2,6,6,1,7,7,3,7,6,2,6,5,3,1,1,5,2,1,5,2,2,5,5,5,2,5,5,3,5,5,3,Qual1827-1101Morphs,5be3d8c4-7bff-436b-8be9-f48060f8e7aa,3296180,1,
11/8/18 0:04,11/8/18 0:15,0,73.174.166.190,100,628,1,11/8/18 0:15,R_24uAhg4mOp0D0lT,,,,,40.62519836,-79.94429779,anonymous,EN,2,2,19,2,2,1,8,5,1,1,1,1,6,4,4,5,1,1,6,1,1,4,4,4,2,4,4,1,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,7,7,1,4,4,3,4,4,1,1,1,6,4,1,5,1,1,6,1,1,6,4,4,3,1,1,6,1,1,3,1,3,3,1,4,4,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,4,4,4,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,1,1,6,4,4,2,4,4,2,4,4,3,1,1,6,4,4,2,1,1,5,1,1,6,1,1,6,1,1,6,4,4,1,4,7,2,4,4,1,1,1,6,1,1,6,1,1,6,Qual1827-1101Morphs,5be3e00e-83e8-4ec7-858e-eb7ac0252a1d,3296180,1,
11/8/18 6:28,11/8/18 6:48,0,71.221.86.247,100,1197,1,11/8/18 6:48,R_25Bld1QNk1s8kWM,,,,,32.22140503,-98.22239685,anonymous,EN,2,2,19,2,3,1,4,3,5,4,1,7,1,6,4,1,6,6,3,6,4,1,6,5,4,6,2,5,6,4,1,6,5,3,6,5,3,6,5,5,5,5,3,6,6,3,6,4,1,6,4,1,6,3,4,5,5,3,7,7,1,6,4,1,7,7,1,6,6,2,6,7,2,6,1,6,6,3,4,6,2,5,6,7,1,6,6,2,1,7,1,6,5,2,5,3,4,6,4,1,1,7,1,6,3,3,6,7,1,6,4,1,1,7,1,6,7,3,6,7,3,1,7,1,6,6,2,6,2,4,6,2,3,6,4,1,6,7,2,7,7,1,6,7,3,6,6,2,6,6,2,6,5,2,6,1,5,6,3,3,1,7,1,1,7,1,6,4,1,1,7,1,Qual1827-1101Morphs,5be439f9-1652-49a9-a99c-fba4e43d25a1,3296180,1,
11/8/18 7:12,11/8/18 7:29,0,97.83.167.224,100,1024,1,11/8/18 7:29,R_2riJiexbAKwWjim,,,,,43.77420044,-88.43520355,anonymous,EN,2,2,48,1,4,1,2,3,4,4,6,4,1,5,4,1,6,6,1,4,5,1,4,3,2,4,4,2,7,4,1,7,7,1,4,4,1,5,5,2,4,4,3,4,4,3,5,3,4,3,3,4,4,3,4,4,4,3,4,4,2,7,4,1,4,4,1,5,5,2,5,4,2,4,3,3,3,2,4,3,3,4,6,6,1,7,4,2,4,4,1,4,4,2,4,4,4,5,5,2,3,3,4,4,3,3,3,3,4,7,4,1,5,5,2,5,5,2,6,6,1,6,5,1,5,5,1,4,4,3,3,3,4,4,3,4,6,6,1,4,4,2,6,6,1,6,6,1,5,4,1,5,5,2,5,3,3,3,3,3,3,3,3,4,4,2,4,4,2,4,4,2,Qual1827-1101Morphs,5be44432-5b49-44be-8c4a-4f00b01a6fac,3296210,1,
11/8/18 11:04,11/8/18 11:22,0,73.212.115.2,100,1116,1,11/8/18 11:22,R_3L24PsFtBTalF49,,,,,38.89019775,-76.93759918,anonymous,EN,2,2,21,2,2,2,5,3,3,4,7,7,1,7,7,2,7,7,2,1,1,5,1,1,5,1,1,5,7,7,2,5,5,2,5,5,2,7,7,1,5,3,2,7,7,2,1,1,5,1,1,5,1,1,5,7,4,4,4,4,2,7,7,2,7,7,1,7,7,2,4,4,2,1,1,5,1,1,5,1,1,5,7,7,2,6,5,1,7,5,2,7,7,2,1,1,5,4,6,2,1,1,5,1,1,5,7,4,3,7,5,2,5,6,2,7,7,1,7,7,2,7,4,2,7,7,1,1,1,5,1,1,5,1,1,5,7,6,2,7,7,2,4,4,5,7,7,2,7,7,2,7,7,1,4,4,3,4,1,3,1,1,3,7,7,2,7,5,2,5,5,2,Qual1827-1101Morphs,5be47a94-3a43-413c-a119-607e9dbc77bd,3296180,1,
11/8/18 11:06,11/8/18 11:23,0,50.32.211.229,100,970,1,11/8/18 11:23,R_24Br10YSVJt1iHW,,,,,40.03529358,-76.11060333,anonymous,EN,2,2,36,2,4,1,3,4,3,2,3,5,3,3,5,5,2,5,5,2,1,4,3,2,5,3,2,5,3,5,5,4,5,5,2,5,5,2,6,5,4,4,5,3,5,5,2,1,5,3,3,5,3,2,5,4,5,5,4,5,5,2,6,5,1,7,5,3,5,3,2,6,3,2,1,5,3,3,4,3,2,4,1,7,5,3,6,5,3,6,5,2,6,4,3,2,5,2,7,5,2,1,5,3,3,4,2,2,5,1,6,5,2,6,5,4,6,4,2,6,4,3,5,4,3,6,4,2,2,5,3,3,5,2,2,5,2,6,5,3,5,5,3,6,5,2,6,3,4,5,5,2,6,4,2,1,5,3,2,5,2,2,5,3,6,4,3,5,5,3,5,5,Qual1827-1101Morphs,5be47b3a-1b34-4aa7-bd0c-4554d2a90385,3296180,1,
11/8/18 11:06,11/8/18 11:25,0,172.91.117.178,100,1163,1,11/8/18 11:25,R_1Lbcbm2AA7WdLM3,,,,,34.02870178,-118.4924011,anonymous,EN,2,2,56,2,3,1,6,4,3,2,7,7,6,7,7,3,6,6,4,1,1,6,2,2,6,1,1,6,5,5,6,7,5,6,4,5,6,7,7,6,4,5,5,7,6,5,1,1,6,3,3,5,2,2,4,5,4,5,4,5,5,5,5,2,7,7,2,5,5,4,5,5,3,1,1,6,2,2,5,2,2,6,7,7,2,7,7,6,5,5,4,7,7,6,2,2,5,7,7,2,1,1,6,2,2,5,1,1,6,7,7,6,5,6,5,6,6,5,7,7,2,5,6,4,7,7,5,2,2,5,2,2,6,2,2,5,7,7,1,6,5,5,5,5,3,7,7,4,6,5,5,7,7,5,1,1,6,2,2,4,1,1,6,5,5,4,6,5,4,6,5,4,Qual1827-1101Morphs,5be47b01-5ab6-49c7-987b-a03482343f3f,3296180,1,
11/8/18 11:08,11/8/18 11:25,0,98.5.23.2,100,1016,1,11/8/18 11:25,R_2q8DOtHyO9Gu8zd,,,,,42.90170288,-78.6631012,anonymous,EN,2,2,13,2,3,1,6,3,5,2,7,3,5,2,3,3,6,3,2,3,5,4,3,3,5,3,4,4,5,7,4,7,7,4,7,6,3,6,4,3,5,4,4,5,4,4,5,6,4,5,2,5,7,2,1,6,5,6,6,2,3,3,2,2,7,5,5,3,2,3,7,1,3,6,6,4,3,2,4,7,1,3,6,5,5,5,2,1,4,4,6,5,7,5,6,5,4,3,2,4,4,6,6,4,5,6,3,1,1,5,7,5,5,4,3,7,4,2,7,5,5,5,5,4,5,6,5,6,2,4,5,6,5,5,3,4,4,6,5,2,2,3,6,3,2,4,5,5,3,3,2,4,4,4,5,7,6,4,7,6,1,3,3,4,6,5,2,1,2,4,6,6,Qual1827-1101Morphs,5be47bb5-6d26-489a-92d3-8b05a5dc7d14,3296180,1,
11/8/18 11:09,11/8/18 11:27,0,73.66.100.187,100,1072,1,11/8/18 11:27,R_24tMzYeCEdoZLM0,,,,,38.64059448,-121.4440002,anonymous,EN,2,2,3,2,3,4,2,4,4,4,7,6,4,7,6,2,7,4,2,7,3,3,4,4,2,7,3,3,4,6,4,4,4,4,4,4,4,7,4,3,4,5,3,7,5,3,7,1,6,4,3,3,7,2,3,4,4,4,7,5,2,7,7,1,7,5,4,7,4,3,7,4,5,7,4,4,7,4,3,7,4,1,7,5,4,7,5,4,7,6,2,7,7,4,7,4,3,4,4,4,7,1,6,7,4,3,7,4,2,7,4,2,4,4,2,7,6,1,7,7,2,7,7,1,7,5,2,7,3,2,7,7,1,7,2,5,7,7,2,7,4,5,7,4,5,7,6,2,7,5,4,7,6,2,7,4,3,7,6,2,4,4,4,7,7,2,7,4,4,7,6,2,Qual1827-1101Morphs,5be47be8-bcd7-4da3-88b4-1e7c014c5ab4,3296180,1,
11/8/18 11:07,11/8/18 11:34,0,152.27.34.31,100,1616,1,11/8/18 11:34,R_6mr6I6LgMDOjLJn,,,,,34.77400208,-77.37809753,anonymous,EN,2,2,57,2,4,1,12,4,3,2,2,7,4,3,5,4,2,6,3,2,1,5,2,2,5,3,1,5,5,7,3,4,4,5,2,6,4,2,6,4,4,5,4,3,5,4,2,2,5,5,3,1,3,3,4,3,6,3,5,5,2,2,6,4,1,7,5,3,5,2,2,6,5,2,2,5,3,3,2,5,2,3,5,7,5,3,5,2,2,6,4,2,6,5,3,2,4,2,6,5,1,1,6,2,2,5,2,1,6,2,6,4,2,6,5,5,6,4,1,7,3,3,5,2,2,7,5,2,2,5,3,4,3,2,1,6,6,6,2,5,6,3,4,5,3,1,7,5,3,6,3,2,7,2,2,1,6,6,3,2,2,2,6,3,7,3,5,5,4,4,5,3,Qual1827-1101Morphs,5be47b5f-d9d3-46d3-a02e-ff7c38d1385d,3296180,1,
11/8/18 11:21,11/8/18 11:36,0,107.77.196.110,100,895,1,11/8/18 11:36,R_2S8f0Zx3WI1EdVX,,,,,32.77870178,-96.82170105,anonymous,EN,2,2,24,2,3,1,5,4,7,4,5,4,1,5,4,2,5,4,1,5,4,5,5,3,6,5,4,5,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,6,4,3,5,4,4,5,4,4,5,4,2,7,6,4,7,6,2,5,4,1,5,4,2,5,4,1,5,4,5,5,4,4,5,4,5,5,4,2,5,4,2,5,4,1,5,4,1,5,4,4,5,4,2,5,4,3,5,4,4,4,4,6,6,4,1,5,4,2,5,4,2,6,4,1,5,4,2,5,4,1,4,4,5,5,4,6,5,4,5,5,4,1,5,4,2,5,4,1,5,4,1,5,4,1,7,6,2,5,3,6,5,4,4,5,4,6,5,4,1,6,4,2,7,4,2,Qual1827-1101Morphs,5be47eb3-6b43-4989-b1bd-fac8f919bb7f,3296180,1,
11/8/18 11:23,11/8/18 11:37,0,73.186.18.219,100,804,1,11/8/18 11:37,R_ysVbpwCa2ehNBPH,,,,,41.55690002,-72.66519928,anonymous,EN,2,2,21,2,2,1,7,5,7,1,7,4,5,7,4,3,7,6,4,7,6,4,7,4,5,7,5,3,7,4,4,7,4,5,7,5,4,7,5,4,7,4,5,7,5,5,7,4,5,7,4,4,7,4,5,7,4,4,7,4,6,7,4,5,7,6,5,7,6,4,7,6,5,7,4,5,7,4,5,7,6,3,7,4,5,7,4,5,7,4,5,7,4,5,7,4,5,7,4,5,7,4,5,7,4,5,7,2,5,7,7,5,7,5,4,7,6,5,7,6,5,7,6,4,7,6,4,7,4,4,7,4,5,7,4,5,7,4,5,7,4,5,7,6,5,7,4,5,7,4,5,7,5,4,7,4,5,7,4,4,7,4,4,7,4,5,7,4,5,7,6,4,Qual1827-1101Morphs,5be47f2d-7e45-4ee2-9a0a-bb915aa4a5b2,3296180,1,
11/8/18 11:27,11/8/18 11:39,0,216.80.125.41,100,722,1,11/8/18 11:39,R_1f3BmRW8THBe34E,,,,,41.95429993,-87.65750122,anonymous,EN,2,2,53,2,3,1,3,4,7,2,6,7,2,6,6,5,6,6,2,4,1,5,6,1,5,5,1,5,5,6,5,5,5,5,6,6,5,5,6,2,7,4,5,6,6,5,6,1,5,5,2,5,6,3,5,6,5,5,6,5,5,6,7,5,6,6,5,5,6,5,6,6,2,7,2,5,6,3,5,5,2,5,6,6,5,7,6,2,6,7,5,5,6,5,5,2,5,5,7,5,4,1,5,5,2,5,6,2,5,6,7,5,6,6,5,6,5,5,3,7,5,5,6,5,5,7,5,4,1,5,5,2,5,5,1,5,7,6,2,6,5,5,6,6,2,5,7,2,5,5,5,6,6,5,4,1,5,3,1,5,3,1,5,6,6,2,7,5,5,6,5,5,Qual1827-1101Morphs,5be47ffe-ecf2-4e21-a669-f8af762c775d,3296180,1,
11/8/18 11:29,11/8/18 11:39,0,172.58.224.81,100,636,1,11/8/18 11:39,R_2VHDn7UQ5uSjw7s,,,,,40.65049744,-73.93489838,anonymous,EN,2,2,8,2,3,3,2,5,1,2,7,5,3,1,3,3,5,5,4,4,4,4,1,1,3,6,4,3,7,5,3,4,4,4,5,6,5,7,5,2,5,3,4,4,4,3,1,1,5,5,4,3,5,3,3,5,5,4,4,3,3,5,4,3,6,3,5,4,4,3,5,4,5,5,5,5,5,6,3,5,4,4,5,4,3,7,5,5,5,5,5,6,5,4,1,4,3,5,5,5,5,4,3,6,3,4,4,3,3,7,7,5,4,3,5,7,4,4,6,6,5,7,6,4,5,4,4,4,3,4,4,4,5,5,4,4,5,5,5,6,5,4,6,4,3,6,3,3,4,4,3,6,4,4,6,5,5,6,6,5,4,3,4,4,4,4,4,4,4,4,4,3,Qual1827-1101Morphs,5be4806b-4f27-4871-85d9-6a31ecc8657f,3296180,1,
11/8/18 11:16,11/8/18 11:42,0,63.226.223.39,100,1564,1,11/8/18 11:42,R_3nVJ4HmKCMj5Piw,,,,,47.75590515,-122.3003006,anonymous,EN,2,2,59,2,3,1,5,4,5,4,2,6,4,4,4,5,2,7,4,1,1,5,3,2,4,2,2,5,2,6,4,3,5,3,3,6,4,2,7,5,1,7,5,1,7,5,1,1,5,4,4,2,2,2,5,1,7,5,6,5,4,2,6,4,1,7,3,1,7,5,1,7,3,1,1,5,3,3,2,2,2,4,3,7,2,3,6,3,2,6,4,1,7,4,3,2,3,1,7,5,1,1,5,1,1,6,1,1,6,2,6,3,3,7,4,2,7,5,1,7,3,3,5,3,1,7,5,1,1,5,2,2,5,2,1,5,2,7,5,2,6,4,3,6,4,1,7,2,1,7,3,1,7,4,1,1,5,2,2,4,1,1,6,3,6,2,3,6,2,3,6,2,Qual1827-1101Morphs,5be47d8b-4cab-44e0-b979-7715b5504e06,3296180,1,
11/8/18 11:30,11/8/18 11:43,0,192.146.186.109,100,759,1,11/8/18 11:43,R_2wRywbWnYMIArXr,,,,,34.11729431,-117.4378052,anonymous,EN,2,2,41,1,2,1,8,4,1,1,6,7,3,7,7,5,7,7,4,5,4,4,5,4,4,3,1,1,2,7,1,7,4,2,7,6,2,5,3,1,7,2,3,7,4,2,5,4,2,7,3,3,1,4,4,7,6,2,6,3,1,7,7,5,7,7,3,7,3,2,1,1,3,7,2,5,7,5,6,7,4,5,2,1,3,7,5,2,7,5,4,2,2,1,7,4,2,7,7,1,3,3,5,5,3,3,7,7,6,7,7,1,7,7,4,7,7,5,7,7,5,1,2,1,6,2,3,7,7,6,7,4,5,2,3,4,7,7,6,7,7,2,5,4,6,7,7,5,7,4,2,7,7,2,7,1,6,7,6,4,7,7,1,7,3,4,6,4,5,7,7,4,Qual1827-1101Morphs,5be480b8-ed61-4219-a0f4-2961d9c45a73,3296210,1,
11/8/18 11:08,11/8/18 11:51,0,107.77.204.135,100,2588,1,11/8/18 11:51,R_1GVwIweLnv2GWEw,,,,,38.96470642,-76.96489716,anonymous,EN,2,2,37,2,4,1,7,3,4,4,5,4,3,5,4,2,7,6,1,5,3,5,5,4,2,3,3,5,5,5,3,5,4,2,7,7,6,6,4,2,5,5,2,7,7,1,6,4,3,5,4,3,4,3,4,7,6,2,5,4,2,6,6,2,7,6,2,7,6,3,5,4,3,4,3,4,5,4,3,4,4,3,6,5,2,4,4,3,6,6,2,5,4,2,4,3,4,5,4,3,4,4,3,5,4,3,4,3,4,7,7,3,5,4,3,6,4,2,5,4,3,5,4,3,7,6,2,4,3,4,5,4,2,5,4,2,5,4,3,5,4,2,7,6,2,7,7,2,7,6,2,5,4,2,5,4,3,5,3,4,4,2,4,5,4,2,6,4,2,6,6,2,Qual1827-1101Morphs,5be47b7a-1e0c-494d-805e-29d80807cd90,3296180,1,
11/8/18 11:28,11/8/18 11:54,0,68.38.89.103,100,1571,1,11/8/18 11:54,R_3QVoH6ZrhXloVf7,,,,,39.50430298,-85.78749847,anonymous,EN,2,2,48,1,5,1,7,3,1,4,6,5,4,7,5,5,7,6,1,7,3,2,6,3,5,7,2,4,7,5,6,7,5,4,7,6,2,7,5,4,7,4,5,7,5,5,7,2,1,7,3,3,7,1,4,7,4,5,7,4,4,7,4,5,7,6,2,5,6,5,7,5,5,7,1,4,7,3,5,6,2,5,7,4,4,7,4,5,7,6,3,7,5,3,7,2,5,7,5,2,5,1,5,7,3,5,6,2,5,7,6,2,7,5,4,7,6,3,6,7,1,7,5,3,5,7,3,6,1,5,7,4,5,7,3,2,6,4,2,7,4,5,7,5,4,7,4,1,7,5,4,7,4,5,7,1,1,7,3,5,6,1,6,7,5,1,7,4,6,7,5,5,Qual1827-1101Morphs,5be48042-1407-4476-8cca-638e119c7f2b,3296210,1,
11/8/18 11:40,11/8/18 12:01,0,172.2.30.209,100,1268,1,11/8/18 12:01,R_1qemHvNNLmLfoLT,,,,,25.7664032,-80.23169708,anonymous,EN,2,2,36,1,3,1,1,4,2,1,4,4,2,4,4,4,3,3,4,3,3,5,4,2,5,4,2,6,4,4,4,4,4,5,4,4,3,3,4,3,3,4,2,4,3,2,3,3,3,5,3,3,3,4,4,3,2,4,4,4,4,4,4,5,5,4,2,3,4,2,6,4,4,4,4,4,3,4,4,5,2,4,3,4,2,4,4,3,3,4,2,4,3,2,4,4,4,3,6,2,3,4,4,3,6,3,5,2,5,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,4,2,4,4,5,4,4,3,3,1,5,3,6,2,5,4,5,5,4,2,2,7,1,4,6,5,5,4,5,4,4,4,4,4,5,3,4,5,5,4,3,4,6,2,4,4,4,Qual1827-1101Morphs,5be48314-7d5c-49c1-8879-ae741378daf0,3296210,1,
11/8/18 11:48,11/8/18 12:02,0,98.236.228.118,100,846,1,11/8/18 12:02,R_30wqCcHsZ0qdNou,,,,,40.41369629,-80.56829834,anonymous,EN,2,2,34,2,4,1,4,3,4,3,5,5,2,5,5,3,5,6,2,3,2,4,3,3,5,4,4,3,5,6,3,4,3,3,5,6,2,5,5,3,5,5,4,4,4,3,3,3,4,3,3,4,4,4,3,6,6,3,4,4,3,5,6,2,6,7,2,5,5,3,4,4,3,3,2,3,4,3,4,3,2,3,6,6,2,4,5,4,4,4,3,4,4,3,4,2,3,4,4,4,4,4,3,4,3,3,3,2,5,5,6,3,6,6,3,4,4,3,5,6,3,6,6,2,4,4,3,3,3,5,3,3,3,3,2,5,6,5,3,5,5,3,5,5,4,2,7,2,6,6,2,5,6,3,2,1,5,3,2,3,4,4,3,6,4,2,3,4,3,4,5,3,Qual1827-1101Morphs,5be48509-cea2-468a-8ccc-c780d79c6d34,3296180,1,
