"subnum","age","X04_a_low_arsl","X04_a_low_vln","X04_a_full_arsl","X04_a_full_vln","X04_a_med_arsl","X04_a_med_vln","X04_h_full_arsl","X04_h_full_vln","X04_h_low_arsl","X04_h_low_vln","X04_h_med_arsl","X04_h_med_vln","X04_s_full_arsl","X04_s_full_vln","X04_s_low_arsl","X04_s_low_vln","X04_s_med_arsl","X04_s_med_vln","X116_a_full_arsl","X116_a_full_vln","X116_a_low_arsl","X116_a_low_vln","X116_a_med_arsl","X116_a_med_vln","X116_h_full_arsl","X116_h_full_vln","X116_h_low_arsl","X116_h_low_vln","X116_h_med_arsl","X116_h_med_vln","X116_s_full_arsl","X116_s_full_vln","X116_s_low_arsl","X116_s_low_vln","X116_s_med_arsl","X116_s_med_vln","X133_a_full_arsl","X133_a_full_vln","X133_a_low_arsl","X133_a_low_vln","X133_a_med_arsl","X133_a_med_vln","X133_h_full_arsl","X133_h_full_vln","X133_h_low_arsl","X133_h_low_vln","X133_h_med_arsl","X133_h_med_vln","X133_s_full_arsl","X133_s_full_vln","X133_s_low_arsl","X133_s_low_vln","X133_s_med_arsl","X133_s_med_vln","X49_a_full_arsl","X49_a_full_vln","X49_a_low_arsl","X49_a_low_vln","X49_a_med_arsl","X49_a_med_vln","X49_h_full_arsl","X49_h_full_vln","X49_h_low_arsl","X49_h_low_vln","X49_h_med_arsl","X49_h_med_vln","X49_s_full_arsl","X49_s_full_vln","X49_s_low_arsl","X49_s_low_vln","X49_s_med_arsl","X49_s_med_vln","X69_a_full_arsl","X69_a_full_vln","X69_a_low_arsl","X69_a_low_vln","X69_a_med_arsl","X69_a_med_vln","X69_h_full_arsl","X69_h_full_vln","X69_h_low_arsl","X69_h_low_vln","X69_h_med_arsl","X69_h_med_vln","X69_s_full_arsl","X69_s_full_vln","X69_s_low_arsl","X69_s_low_vln","X69_s_med_arsl","X69_s_med_vln","X113_a_full_arsl","X113_a_full_vln","X113_a_low_arsl","X113_a_low_vln","X113_a_med_arsl","X113_a_med_vln","X113_h_full_arsl","X113_h_full_vln","X113_h_low_arsl","X113_h_low_vln","X113_h_med_arsl","X113_h_med_vln","X113_s_full_arsl","X113_s_full_vln","X113_s_low_arsl","X113_s_low_vln","X113_s_med_arsl","X113_s_med_vln"
49,"30",7,4,4,4,NA,NA,7,4,7,4,7,4,NA,NA,7,4,7,4,NA,NA,3,5,7,4,7,4,NA,NA,NA,NA,4,4,3,5,7,4,5,4,7,4,7,6,4,4,2,7,7,4,7,4,NA,NA,3,3,7,4,7,4,NA,NA,4,4,4,4,7,4,4,4,4,4,5,7,7,4,3,4,4,4,NA,NA,4,4,6,3,4,4,NA,NA,3,5,7,4,NA,NA,4,5,7,4,7,4,7,4,7,4,7,4,5,4
50,"46",6,5,5,5,5,5,NA,NA,4,3,4,3,4,4,NA,NA,NA,NA,5,5,4,4,5,5,2,2,3,3,2,2,6,6,5,4,6,6,6,5,4,4,4,4,3,2,4,4,4,3,6,5,4,4,4,4,5,5,NA,NA,4,5,2,2,4,3,NA,NA,5,5,4,4,NA,NA,6,6,NA,NA,6,6,2,2,NA,NA,3,3,5,5,5,5,NA,NA,6,6,4,5,6,6,NA,NA,4,3,2,2,5,6,5,4,5,5
51,"70",5,5,4,4,4,4,1,1,NA,NA,2,1,NA,NA,NA,NA,5,4,7,7,4,4,7,7,1,1,1,1,2,1,5,6,3,3,5,5,NA,NA,5,4,5,5,NA,NA,NA,NA,1,1,5,4,4,4,4,4,5,5,4,4,4,4,1,1,1,1,2,1,5,6,4,4,5,5,NA,NA,NA,NA,5,5,1,1,NA,NA,1,1,6,6,5,5,6,5,7,6,6,6,6,6,1,1,2,1,1,1,5,6,3,3,NA,NA
52,"30",5,5,5,5,3,3,2,2,4,3,3,3,4,4,6,6,4,4,4,4,NA,NA,4,4,3,3,2,2,3,3,7,7,7,5,NA,NA,7,7,5,5,7,7,5,6,3,3,NA,NA,7,7,6,6,NA,NA,4,4,5,5,7,7,1,1,2,2,NA,NA,5,5,6,4,NA,NA,4,4,NA,NA,4,4,3,3,3,3,3,3,5,5,NA,NA,5,5,7,7,NA,NA,7,7,2,2,NA,NA,2,2,3,4,4,3,7,7
53,"31",7,4,7,4,7,5,7,4,7,3,7,3,7,4,NA,NA,NA,NA,7,7,7,4,7,4,7,4,7,4,NA,NA,7,4,7,4,7,4,7,4,7,4,NA,NA,7,4,7,4,7,3,7,5,7,4,7,4,7,5,7,4,NA,NA,NA,NA,7,7,7,4,7,4,7,4,NA,NA,7,5,7,4,7,5,7,3,NA,NA,7,4,7,4,7,4,NA,NA,7,6,7,5,7,5,7,4,7,3,7,4,7,4,7,4,NA,NA
54,"47",7,7,NA,NA,7,7,1,1,NA,NA,1,1,7,7,NA,NA,7,7,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,NA,NA,1,1,NA,NA,1,1,NA,NA,7,7,7,7,7,7,7,7,NA,NA,1,1,NA,NA,1,1,7,7,7,7,7,7
55,"42",7,7,6,5,5,6,1,1,3,3,2,1,6,6,6,6,5,6,3,7,1,7,NA,NA,NA,NA,3,2,NA,NA,5,6,6,5,6,5,2,6,6,5,5,6,NA,NA,3,3,NA,NA,NA,NA,7,5,7,4,1,7,5,5,6,5,NA,NA,3,3,NA,NA,NA,NA,6,5,6,5,2,7,3,7,6,5,2,1,7,1,2,1,1,7,6,6,5,6,3,6,6,5,1,7,3,2,3,1,1,1,5,6,NA,NA,5,5
56,"21",3,6,1,6,3,6,6,2,NA,NA,NA,NA,3,5,6,4,2,6,1,7,3,6,2,7,NA,NA,5,3,NA,NA,NA,NA,5,4,2,6,3,5,3,5,2,6,7,1,6,3,6,2,3,4,3,5,3,5,NA,NA,3,5,2,6,7,1,4,3,6,2,2,6,2,5,NA,NA,5,6,4,5,NA,NA,7,2,5,5,NA,NA,3,6,3,6,3,5,4,4,3,5,4,5,5,4,6,3,6,2,1,7,5,5,NA,NA
57,"30",7,5,7,5,7,4,NA,NA,7,5,NA,NA,7,7,7,5,7,5,6,6,6,5,NA,NA,7,2,7,4,7,2,6,6,7,4,7,5,7,6,6,5,7,5,NA,NA,7,3,7,3,6,6,6,4,5,5,6,5,6,4,6,4,7,2,NA,NA,6,3,6,6,6,5,6,4,7,7,7,4,NA,NA,5,2,7,3,NA,NA,7,5,6,5,6,5,7,6,6,4,7,5,7,3,NA,NA,NA,NA,7,6,NA,NA,7,5
58,"73",7,4,7,4,7,4,7,4,7,4,7,4,NA,NA,7,7,7,7,7,7,7,4,7,7,4,3,4,4,7,4,7,7,7,7,7,7,7,7,NA,NA,7,4,7,7,7,4,7,7,7,7,7,4,7,4,7,4,7,6,NA,NA,7,4,NA,NA,7,4,7,7,NA,NA,7,4,NA,NA,NA,NA,7,4,3,4,3,4,3,4,3,4,3,4,7,4,7,7,7,4,7,7,7,4,7,6,4,4,NA,NA,NA,NA,7,4
59,"24",3,4,4,5,NA,NA,3,4,6,6,4,4,7,7,4,4,3,4,4,4,7,7,7,4,NA,NA,1,4,4,3,4,4,6,5,3,3,3,2,7,7,4,4,7,7,3,2,NA,NA,7,7,NA,NA,7,7,4,4,3,3,4,4,NA,NA,4,4,5,3,7,6,4,6,7,7,7,4,7,7,4,4,3,4,NA,NA,NA,NA,3,4,6,6,NA,NA,NA,NA,7,7,6,6,7,7,3,3,3,3,4,4,6,2,3,2
60,"33",6,3,3,2,4,3,6,3,3,4,6,3,NA,NA,7,4,6,3,5,5,6,4,2,4,NA,NA,2,5,3,6,NA,NA,6,1,NA,NA,7,6,4,3,2,2,NA,NA,6,2,6,3,5,2,6,2,NA,NA,NA,NA,NA,NA,1,3,1,5,6,3,5,2,2,4,NA,NA,5,5,4,5,2,5,3,2,NA,NA,3,3,6,3,3,2,5,2,2,3,7,3,6,3,4,4,6,2,7,5,7,4,2,1,6,1,3,1
61,"72",5,5,5,6,5,6,5,2,NA,NA,5,3,NA,NA,5,7,5,7,5,7,NA,NA,NA,NA,5,3,5,3,5,3,5,6,5,6,6,6,NA,NA,5,6,5,5,5,2,5,3,5,2,5,6,5,4,5,6,5,6,5,6,5,6,5,3,6,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,6,5,2,5,2,4,2,5,6,5,7,5,6,5,6,5,4,5,6,6,4,5,4,5,2,5,6,NA,NA,5,6
62,"29",4,4,2,3,NA,NA,2,3,7,1,2,3,7,6,NA,NA,2,4,3,5,2,7,6,2,3,4,1,2,2,7,1,3,6,2,5,5,6,3,7,7,NA,NA,2,1,6,7,5,3,4,5,5,1,2,3,4,3,3,4,NA,NA,3,3,2,4,7,3,7,6,7,6,2,4,7,6,6,2,6,7,3,5,3,4,7,7,7,7,NA,NA,NA,NA,NA,NA,2,5,NA,NA,4,4,NA,NA,NA,NA,6,4,3,4,6,5
63,"38",4,4,4,4,NA,NA,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,4,NA,NA,4,4,4,4,4,4,NA,NA
64,"70",NA,NA,NA,NA,5,6,NA,NA,4,1,3,2,3,7,4,6,NA,NA,3,7,4,7,2,7,4,1,4,2,3,2,5,5,4,4,NA,NA,3,7,4,6,NA,NA,3,1,3,2,4,2,5,5,5,6,NA,NA,4,6,5,5,4,7,3,1,NA,NA,4,1,NA,NA,3,5,3,5,4,6,5,5,7,6,3,1,4,1,3,1,NA,NA,4,6,4,6,4,6,4,5,4,5,4,1,5,2,4,2,3,7,4,5,4,5
65,"40",6,6,5,6,NA,NA,1,2,3,2,2,1,6,6,5,6,NA,NA,4,4,6,7,6,6,4,2,2,2,1,2,3,4,6,3,7,5,2,2,6,6,6,5,2,1,2,1,2,1,NA,NA,5,4,NA,NA,6,6,2,2,4,6,3,2,NA,NA,1,3,4,3,3,2,6,6,5,5,6,6,NA,NA,2,1,NA,NA,3,3,6,5,6,6,6,6,5,4,6,5,5,5,NA,NA,1,2,1,2,6,6,6,6,NA,NA
66,"30",5,5,5,6,5,5,3,3,3,3,3,3,NA,NA,NA,NA,4,5,4,5,NA,NA,7,7,NA,NA,NA,NA,3,3,4,4,5,5,4,5,4,5,5,5,4,5,NA,NA,5,5,2,1,4,4,4,4,4,4,6,6,4,4,4,5,2,2,3,2,4,3,NA,NA,3,3,5,5,5,4,NA,NA,NA,NA,NA,NA,4,5,2,2,5,5,5,5,5,5,4,5,6,7,4,5,1,1,4,3,5,5,4,6,4,5,6,6
67,"40",NA,NA,4,2,6,6,3,2,NA,NA,2,3,4,2,4,3,6,6,NA,NA,5,5,5,5,1,1,2,2,1,1,6,5,4,5,5,6,NA,NA,6,4,NA,NA,2,2,1,3,2,2,6,5,4,4,3,4,5,5,5,5,5,4,3,3,2,3,3,3,5,6,6,6,6,5,5,5,6,6,NA,NA,NA,NA,2,2,2,3,NA,NA,NA,NA,6,5,6,6,6,6,6,5,2,2,1,3,2,3,5,5,NA,NA,5,6
68,"47",NA,NA,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,NA,NA,7,7,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,1,7,6,6,NA,NA,7,7,1,7,3,6,5,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,7,7,NA,NA,7,7
69,"29",3,2,1,2,NA,NA,2,2,1,1,2,2,1,3,3,4,NA,NA,2,2,NA,NA,2,2,2,3,1,2,2,2,1,2,2,2,1,1,NA,NA,1,2,NA,NA,1,2,2,2,2,3,1,2,1,2,1,4,3,4,NA,NA,2,3,2,3,NA,NA,2,2,2,2,1,3,2,2,2,2,2,2,1,3,2,2,NA,NA,1,2,2,2,NA,NA,2,3,2,3,1,1,NA,NA,2,3,2,2,1,2,2,3,2,2,3,2
70,"30",3,3,4,5,4,5,4,3,3,2,4,4,2,6,4,6,NA,NA,4,6,3,5,4,5,NA,NA,5,3,NA,NA,3,5,NA,NA,3,5,NA,NA,NA,NA,NA,NA,4,3,4,2,3,2,4,4,5,5,4,5,4,5,4,5,4,5,3,3,2,2,3,2,4,5,3,4,3,5,4,5,3,6,4,4,4,6,3,2,4,5,NA,NA,4,4,4,5,7,4,3,6,3,6,4,3,5,2,4,5,3,3,NA,NA,NA,NA
71,"36",4,4,2,4,4,4,1,1,4,4,NA,NA,NA,NA,1,4,NA,NA,1,4,NA,NA,4,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,NA,NA,4,4,4,4,1,1,1,1,4,4,1,1,4,4,3,4,3,5,4,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,NA,3,4,1,4,4,4,1,1,1,1,4,4,4,4,1,3,NA,NA,NA,NA,3,4,7,1,1,4,4,4,1,1,1,4,4,4,7,5
72,"23",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,6,NA,NA,4,2,4,4,3,3,4,4,4,4,4,4,4,5,NA,NA,4,4,4,4,NA,NA,NA,NA,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,3,4,6,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,4,4,4,5,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,2,4,4
73,"42",NA,NA,5,5,4,4,2,1,3,3,2,2,7,4,7,6,7,5,6,7,7,6,7,6,1,2,2,3,3,3,5,5,5,4,NA,NA,4,3,5,4,4,5,2,3,NA,NA,3,2,7,6,5,4,NA,NA,5,5,7,5,6,6,2,2,NA,NA,1,2,4,6,4,3,7,5,7,7,NA,NA,7,6,1,2,4,5,1,2,NA,NA,7,7,7,4,7,7,NA,NA,5,5,2,1,3,3,1,2,NA,NA,4,4,4,2
74,"24",3,3,3,5,3,4,3,5,3,5,4,4,NA,NA,5,3,5,2,4,2,NA,NA,3,3,NA,NA,4,3,3,3,NA,NA,3,5,5,4,4,4,3,5,4,4,3,4,NA,NA,4,4,7,7,NA,NA,NA,NA,4,3,5,4,4,4,3,4,7,7,4,4,7,7,3,3,3,5,3,4,7,7,3,5,NA,NA,2,4,3,4,NA,NA,7,7,NA,NA,4,4,7,7,3,5,3,4,2,3,7,7,4,4,4,5,3,5
75,"23",4,4,NA,NA,4,5,2,2,4,4,5,4,6,4,5,7,5,6,7,5,5,4,7,7,NA,NA,7,7,7,7,6,5,NA,NA,7,6,NA,NA,7,7,7,6,NA,NA,7,7,7,7,5,4,NA,NA,5,6,4,5,4,3,4,5,3,2,NA,NA,3,3,NA,NA,4,4,4,4,4,4,NA,NA,4,4,3,6,NA,NA,3,2,3,5,7,7,1,2,5,5,4,3,5,5,3,3,5,3,3,2,4,3,4,4,4,5
76,"28",3,5,2,3,1,7,1,7,4,3,NA,NA,1,7,2,7,1,7,1,7,1,7,1,7,1,1,1,7,2,3,NA,NA,2,5,3,2,NA,NA,1,7,1,7,NA,NA,3,3,6,3,5,5,NA,NA,NA,NA,1,7,1,7,1,7,5,3,3,5,3,3,1,7,1,7,1,7,2,5,2,5,1,7,NA,NA,1,7,1,7,NA,NA,1,7,1,7,3,4,2,5,1,5,1,7,NA,NA,6,3,1,7,3,5,1,6
77,"54",5,5,4,5,4,5,3,2,NA,NA,5,3,4,6,NA,NA,4,6,3,6,5,5,3,6,4,2,4,3,NA,NA,3,6,NA,NA,4,5,4,5,4,5,4,5,3,3,6,3,4,2,4,5,5,5,NA,NA,4,5,NA,NA,5,5,3,2,NA,NA,3,2,4,5,5,5,4,5,4,6,NA,NA,4,6,4,2,4,3,4,2,3,6,4,5,3,6,NA,NA,5,5,4,5,NA,NA,5,3,4,3,4,6,5,5,4,5
78,"65",3,6,3,5,2,7,3,1,NA,NA,3,2,1,7,2,7,3,6,NA,NA,2,7,1,7,2,1,3,2,3,2,3,6,3,5,3,5,1,7,2,7,2,7,2,1,3,3,3,2,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,2,3,6,3,5,3,5,1,7,2,7,NA,NA,2,1,3,2,NA,NA,3,6,2,7,3,6,1,7,3,6,2,6,2,1,3,2,2,1,2,7,3,5,NA,NA
79,"41",7,4,1,7,3,4,7,4,7,4,1,1,NA,NA,NA,NA,7,4,NA,NA,7,7,7,4,1,1,1,1,1,1,7,4,NA,NA,7,4,1,7,7,4,NA,NA,1,1,7,4,7,4,7,4,NA,NA,7,4,4,4,7,4,1,7,1,1,NA,NA,7,4,3,4,7,4,NA,NA,4,4,7,4,7,4,1,1,7,4,NA,NA,7,4,7,4,7,4,NA,NA,1,7,7,4,7,4,1,1,3,3,7,4,7,4,4,4
80,"23",4,4,4,4,6,5,4,4,4,4,4,4,NA,NA,4,4,NA,NA,5,6,4,4,7,7,4,3,5,3,3,2,NA,NA,NA,NA,NA,NA,7,5,4,4,4,5,4,4,4,4,3,3,5,5,5,4,NA,NA,5,6,4,4,6,6,NA,NA,NA,NA,3,2,4,4,NA,NA,6,5,6,7,4,5,4,5,3,2,3,3,4,4,6,5,6,6,4,4,NA,NA,5,5,5,5,2,1,7,5,3,2,7,7,4,4,4,5
81,"53",NA,NA,6,6,NA,NA,2,2,3,3,NA,NA,6,5,NA,NA,5,4,7,7,6,4,7,6,3,2,NA,NA,7,5,6,6,4,4,7,6,NA,NA,5,4,5,4,NA,NA,4,3,3,3,6,5,NA,NA,4,5,6,4,7,6,6,5,3,2,4,4,5,4,7,7,5,5,6,6,6,7,4,4,NA,NA,1,1,3,2,2,2,6,6,6,6,7,7,6,5,5,4,NA,NA,3,3,3,2,3,3,6,6,3,3,5,6
82,"27",NA,NA,2,2,4,3,4,4,3,3,3,4,3,4,4,3,4,3,3,5,4,3,6,5,2,3,3,3,3,2,NA,NA,4,4,4,4,NA,NA,4,3,NA,NA,2,2,3,3,3,3,4,3,3,3,6,5,4,3,6,5,4,5,NA,NA,3,3,4,3,4,4,NA,NA,4,4,3,5,3,3,NA,NA,3,3,NA,NA,3,3,NA,NA,4,4,2,3,NA,NA,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,4
83,"57",3,6,3,6,3,5,2,1,4,3,2,2,4,6,3,7,NA,NA,2,7,3,6,3,6,2,1,3,2,3,2,NA,NA,3,5,3,7,NA,NA,4,5,NA,NA,NA,NA,4,3,2,1,NA,NA,4,5,3,5,3,6,4,5,3,6,2,1,4,3,3,2,3,7,4,5,3,7,3,7,4,5,4,4,3,2,4,4,NA,NA,2,7,3,6,3,7,3,7,3,6,3,6,2,1,NA,NA,3,2,2,7,3,5,NA,NA
84,"21",4,4,3,2,3,7,2,5,1,1,7,7,5,5,1,1,NA,NA,4,4,5,5,NA,NA,5,4,6,2,7,7,6,5,7,6,7,7,4,4,4,2,5,5,4,4,5,5,NA,NA,3,3,6,5,NA,NA,2,2,4,3,NA,NA,1,1,7,6,4,3,2,2,3,3,NA,NA,7,7,6,3,7,4,6,3,NA,NA,2,4,5,3,NA,NA,5,4,5,2,4,3,6,3,NA,NA,6,6,1,1,7,1,NA,NA,5,4
85,"55",NA,NA,7,7,NA,NA,5,1,NA,NA,NA,NA,6,6,7,5,NA,NA,NA,NA,7,6,7,5,5,2,7,3,6,3,6,6,6,4,6,5,7,7,7,5,7,7,5,1,6,2,6,2,7,5,NA,NA,6,5,6,4,5,4,6,5,NA,NA,NA,NA,5,2,6,5,6,5,7,5,7,6,7,4,7,5,5,1,6,3,4,1,5,5,5,5,7,5,5,5,NA,NA,6,5,4,1,5,2,6,1,6,6,6,5,6,5
86,"54",4,5,6,6,5,6,5,4,5,6,5,5,3,5,NA,NA,NA,NA,5,5,5,5,NA,NA,6,6,5,5,5,5,6,6,NA,NA,5,4,NA,NA,4,4,NA,NA,5,4,4,4,5,1,5,4,NA,NA,4,4,5,5,4,4,NA,NA,5,5,6,5,5,5,5,5,5,5,5,5,3,4,4,4,NA,NA,3,3,4,4,5,4,4,4,4,3,4,3,5,5,5,5,4,4,NA,NA,4,4,4,4,4,5,4,4,4,4
87,"47",2,6,2,6,NA,NA,1,1,3,3,1,1,1,7,3,5,NA,NA,1,7,2,6,1,7,1,1,NA,NA,1,1,2,6,NA,NA,3,5,2,6,5,5,2,6,1,1,NA,NA,2,2,NA,NA,4,4,6,4,2,6,3,5,2,6,1,1,NA,NA,2,2,1,6,3,5,3,5,1,7,3,5,2,6,1,1,NA,NA,2,2,1,7,3,6,NA,NA,2,6,3,5,3,5,NA,NA,3,2,2,2,1,7,4,4,2,6
88,"60",4,4,3,5,4,5,5,2,5,3,3,2,5,5,5,5,5,5,2,7,5,6,3,6,NA,NA,NA,NA,5,4,5,4,5,5,4,4,5,5,NA,NA,5,5,5,3,4,3,4,3,NA,NA,5,4,5,4,5,4,NA,NA,5,3,1,1,NA,NA,5,1,2,3,3,5,5,5,NA,NA,3,6,NA,NA,2,1,5,3,5,2,3,5,3,5,NA,NA,6,5,3,5,6,5,2,1,2,2,3,2,3,5,4,4,4,5
89,"53",7,7,7,7,4,4,NA,NA,7,6,5,6,7,7,4,4,7,7,7,7,7,7,4,4,1,2,1,2,3,3,NA,NA,4,4,7,7,7,7,NA,NA,4,4,NA,NA,4,4,1,1,7,7,7,7,7,7,NA,NA,7,6,7,7,1,1,2,2,NA,NA,NA,NA,7,7,7,7,NA,NA,7,6,7,7,1,1,3,3,NA,NA,7,7,7,6,NA,NA,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7
90,"70",4,5,6,5,4,5,NA,NA,3,3,NA,NA,5,5,4,4,5,5,NA,NA,6,6,7,7,2,2,3,3,3,1,6,5,4,5,5,6,7,7,5,5,NA,NA,2,1,5,3,3,3,4,5,4,4,4,4,6,6,4,5,7,6,2,1,4,3,2,2,NA,NA,4,4,4,5,7,7,5,5,6,6,1,1,NA,NA,1,2,NA,NA,5,5,5,4,5,6,4,5,4,4,NA,NA,NA,NA,2,2,6,6,NA,NA,4,4
91,"48",4,5,7,7,4,3,1,1,4,3,3,3,NA,NA,NA,NA,5,6,1,7,5,5,7,7,1,1,4,3,1,1,4,5,NA,NA,4,5,5,6,6,5,4,5,1,1,3,3,NA,NA,6,4,7,4,4,5,7,7,7,5,7,7,1,1,NA,NA,1,1,4,5,5,6,4,5,7,7,4,4,7,6,1,1,3,3,2,2,6,6,7,6,NA,NA,7,7,NA,NA,NA,NA,1,1,4,2,2,2,NA,NA,6,5,6,6
92,"24",4,6,4,6,4,5,3,1,3,3,2,3,6,7,6,5,6,6,7,7,2,7,NA,NA,2,2,7,3,1,2,5,6,5,6,2,7,5,6,NA,NA,5,6,NA,NA,3,3,2,6,NA,NA,4,5,NA,NA,NA,NA,6,7,5,7,NA,NA,3,3,3,2,2,7,6,6,4,5,5,6,5,6,5,6,2,2,3,1,2,2,2,7,3,6,NA,NA,NA,NA,5,5,5,5,1,1,2,3,2,1,3,5,NA,NA,6,6
93,"50",7,7,5,5,4,3,4,4,5,5,5,5,4,3,5,5,4,4,6,6,5,5,NA,NA,5,5,5,4,NA,NA,5,5,7,7,5,5,5,5,NA,NA,4,4,4,4,4,4,4,4,NA,NA,7,7,NA,NA,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,7,NA,NA,4,3,5,5,4,4,4,4,4,4,NA,NA,4,4,NA,NA,4,4,5,5,6,6,5,5,4,4,5,5,NA,NA,NA,NA,5,5,4,4
94,"62",6,6,5,6,6,6,1,1,4,3,3,3,NA,NA,6,6,7,7,NA,NA,5,5,NA,NA,1,2,2,2,2,2,7,7,NA,NA,NA,NA,7,7,4,4,6,5,1,1,3,2,NA,NA,5,4,4,4,NA,NA,6,6,6,5,5,5,1,1,3,3,1,1,7,7,5,5,6,6,7,7,5,5,6,6,1,1,1,1,1,1,6,6,6,6,NA,NA,NA,NA,5,5,5,5,1,1,2,2,NA,NA,6,6,5,5,6,6
95,"64",7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,NA,NA,NA,NA,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,7,7,NA,NA,7,7,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,6,6,6,6,7,7,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
96,"58",7,5,7,5,7,4,7,2,7,3,7,2,7,6,7,5,7,6,7,6,7,5,7,5,7,2,7,3,7,2,7,5,7,5,NA,NA,7,5,7,5,7,5,7,2,7,3,7,2,7,5,NA,NA,7,5,7,5,NA,NA,7,6,7,2,7,3,7,2,7,5,7,5,7,5,NA,NA,7,4,7,5,7,2,7,3,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,7,6,7,2,NA,NA,7,2,7,5,7,5,7,5
97,"56",5,6,7,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,7,7,6,7,4,7,7,7,7,7,7,7,7,7,7,7,NA,NA,6,6,NA,NA,7,7,5,4,7,6,3,2,NA,NA,NA,NA,7,6,NA,NA,NA,NA,7,7,7,7,NA,NA,7,7,7,7,7,7,NA,NA,1,1,7,7,7,7,7,7,NA,NA,7,7,7,6,7,7,7,7,7,7,6,6,5,6,7,7,7,7,7,7,7,7
98,"86 or older",4,5,NA,NA,7,6,1,1,5,6,2,1,NA,NA,6,7,4,5,NA,NA,NA,NA,7,7,1,1,NA,NA,6,6,5,5,4,5,7,6,7,7,7,7,7,7,7,7,2,3,3,2,4,3,6,7,5,6,6,6,NA,NA,1,3,2,2,1,1,1,1,NA,NA,2,7,7,7,7,7,7,7,NA,NA,1,1,3,3,5,6,5,7,4,4,5,5,NA,NA,5,5,7,7,6,6,7,7,2,3,6,5,6,7,4,6
99,"21",7,7,7,7,2,7,1,1,1,1,1,1,NA,NA,1,1,7,7,NA,NA,7,7,7,7,1,1,NA,NA,NA,NA,NA,NA,2,7,7,7,4,5,7,7,NA,NA,1,1,1,4,1,1,6,3,7,5,7,4,NA,NA,7,7,7,7,1,1,7,2,1,1,7,5,1,7,6,7,7,7,7,5,7,7,1,1,1,1,NA,NA,1,4,7,7,7,7,7,7,NA,NA,7,7,1,1,1,3,1,1,7,7,NA,NA,7,7
100,"27",1,7,2,6,NA,NA,1,1,3,2,1,1,NA,NA,1,7,1,7,1,7,2,7,1,7,NA,NA,2,1,NA,NA,1,7,2,6,2,6,NA,NA,2,6,2,6,1,1,1,1,1,2,2,6,2,6,2,6,NA,NA,2,6,2,6,NA,NA,2,1,1,1,2,5,2,6,2,6,2,5,2,6,2,6,NA,NA,1,1,1,1,1,6,2,6,1,6,1,7,NA,NA,2,6,NA,NA,1,1,1,1,1,7,2,6,1,7
